년	월	일	시	분	규모	위도	경도
2017	10	13	1	41	2.7 	41.39 	129.03 
2017	10	8	12	18	2.8 	34.84 	127.25 
2017	10	4	12	10	2.1 	36.16 	127.13 
2017	10	4	2	11	2.4 	35.56 	129.88 
2017	9	30	15	34	2.5 	33.42 	127.15 
2017	9	23	17	29	3.2 	41.35 	129.06 
2017	9	23	13	43	2.6 	41.35 	129.06 
2017	9	16	1	34	2.2 	34.25 	127.13 
2017	9	11	17	25	3.2 	35.29 	124.16 
2017	9	7	14	58	2.9 	37.60 	125.34 
2017	9	1	5	57	2.1 	36.42 	127.21 
2017	8	29	22	6	2.4 	35.31 	125.36 
2017	8	21	1	30	2.1 	38.82 	126.13 
2017	8	16	0	35	2.5 	38.73 	125.69 
2017	8	15	21	32	2.6 	38.73 	125.67 
2017	8	9	13	53	2.7 	33.87 	125.52 
2017	8	7	20	53	2.6 	38.70 	125.63 
2017	7	20	14	38	2.0 	37.39 	129.54 
2017	7	19	10	23	2.1 	33.80 	126.10 
2017	7	18	10	31	2.7 	37.69 	126.19 
2017	7	9	3	43	2.6 	33.51 	125.73 
2017	7	8	23	45	2.8 	40.59 	127.02 
2017	7	6	6	0	2.4 	36.00 	127.94 
2017	7	5	19	17	2.5 	35.99 	127.97 
2017	6	28	13	0	2.7 	40.00 	125.81 
2017	6	27	20	17	2.0 	35.77 	129.20 
2017	6	20	11	2	2.0 	35.85 	129.08 
2017	6	17	14	30	2.3 	33.38 	127.21 
2017	6	15	16	56	2.4 	36.54 	125.07 
2017	6	14	2	43	2.2 	38.34 	126.14 
2017	6	13	8	1	2.1 	35.74 	129.18 
2017	6	11	20	31	2.5 	35.77 	129.17 
2017	6	11	18	16	2.0 	37.28 	129.21 
2017	6	4	5	16	2.1 	36.83 	128.10 
2017	5	28	15	47	2.7 	35.67 	129.56 
2017	5	25	11	20	3.0 	36.96 	124.40 
2017	5	20	22	29	2.9 	37.73 	129.62 
2017	5	20	16	29	2.0 	35.92 	128.27 
2017	5	16	23	29	2.2 	36.60 	128.92 
2017	5	16	20	6	2.1 	36.85 	124.55 
2017	5	13	18	37	2.8 	36.61 	129.44 
2017	5	10	22	31	2.1 	36.61 	129.45 
2017	5	10	14	6	2.5 	35.88 	126.19 
2017	5	5	23	16	3.0 	35.32 	127.43 
2017	5	5	0	2	2.0 	36.73 	128.10 
2017	5	4	21	46	2.4 	36.74 	128.10 
2017	5	4	1	8	2.6 	36.61 	129.44 
2017	4	28	11	19	2.1 	36.60 	128.81 
2017	4	28	5	54	2.9 	33.33 	127.85 
2017	4	20	16	0	3.2 	33.77 	127.28 
2017	4	18	17	36	2.1 	35.50 	128.88 
2017	4	18	1	17	2.0 	35.76 	129.18 
2017	4	16	21	39	2.2 	36.70 	125.18 
2017	4	15	17	16	2.0 	36.11 	129.37 
2017	4	15	11	31	3.1 	36.11 	129.36 
2017	4	15	5	41	2.2 	35.76 	129.18 
2017	4	10	4	2	2.3 	35.16 	128.77 
2017	4	9	14	12	2.4 	38.99 	126.20 
2017	4	9	1	45	2.1 	35.76 	129.20 
2017	4	8	23	13	2.1 	38.75 	125.63 
2017	4	8	18	20	2.7 	35.76 	129.18 
2017	4	7	0	4	2.0 	35.97 	127.80 
2017	4	4	23	25	2.2 	35.67 	130.00 
2017	4	1	16	4	2.2 	35.78 	129.20 
2017	3	31	13	53	2.5 	35.79 	129.19 
2017	3	31	13	46	3.3 	35.78 	129.20 
2017	3	30	21	49	2.0 	35.76 	129.19 
2017	3	28	15	45	2.0 	35.79 	129.20 
2017	3	28	0	48	2.2 	37.17 	125.48 
2017	3	27	9	28	2.0 	35.21 	126.95 
2017	3	21	23	19	2.4 	38.52 	126.03 
2017	3	19	3	1	2.9 	33.32 	127.18 
2017	3	15	23	56	2.4 	37.73 	129.69 
2017	3	14	5	41	2.1 	34.64 	127.78 
2017	3	9	2	24	2.0 	35.82 	129.78 
2017	3	7	6	53	2.6 	37.75 	129.71 
2017	3	7	3	48	2.2 	36.30 	128.23 
2017	3	6	6	21	2.0 	35.75 	126.10 
2017	3	5	19	19	2.1 	37.77 	129.70 
2017	3	5	15	9	2.1 	37.72 	129.59 
2017	3	5	9	28	2.4 	37.74 	129.69 
2017	3	5	9	18	3.2 	37.75 	129.66 
2017	3	5	7	52	2.4 	35.75 	129.17 
2017	3	4	6	33	2.3 	35.99 	127.95 
2017	2	25	6	59	2.4 	35.74 	129.18 
2017	2	25	6	58	2.2 	35.74 	129.17 
2017	2	24	12	29	2.5 	38.89 	126.09 
2017	2	24	11	34	2.3 	36.38 	127.79 
2017	2	23	21	3	3.1 	37.40 	124.89 
2017	2	22	13	8	2.1 	35.77 	129.18 
2017	2	21	3	21	2.1 	35.76 	129.20 
2017	2	18	20	58	2.4 	35.23 	126.94 
2017	2	18	16	53	2.0 	33.23 	126.18 
2017	2	16	18	20	2.3 	35.64 	128.09 
2017	2	16	2	34	2.9 	35.78 	129.20 
2017	2	12	9	22	2.3 	35.69 	129.58 
2017	2	10	18	1	2.6 	38.54 	125.84 
2017	2	10	5	22	2.2 	35.65 	129.57 
2017	2	5	20	6	2.6 	39.61 	127.64 
2017	2	5	19	7	2.5 	33.61 	126.73 
2017	1	29	13	45	2.6 	38.70 	127.16 
2017	1	26	22	53	2.0 	33.54 	126.87 
2017	1	24	4	7	2.6 	35.77 	129.17 
2017	1	21	3	27	2.6 	35.75 	129.18 
2017	1	18	12	49	2.5 	35.02 	125.06 
